wyear,wymon,calyear,calmon,stor,rch,run,aet,cwd,tmax,tmin,ppt,pet,exc
1982,6,1982,3,137.30999756,21.440000534,4.0900001526,92.699996948,0,23.690000534,7.1599998474,158.55999756,93,\N
1982,7,1982,4,105.16000366,0.4199999869,0.0099999998,110.91000366,10.909999847,24.11000061,7.3699998856,78.449996948,121.86000061,\N
1982,8,1982,5,92.940002441,0,0,12.770000458,134.33999634,19.739999771,9.7899999619,0.5500000119,147.13999939,\N
1982,9,1982,6,92.940002441,0,0,1.2899999619,148.3999939,18.559999466,10.369999886,1.2899999619,149.77999878,\N
1982,10,1982,7,92.940002441,0,0,0.0099999998,168.03999329,16.709999084,11.630000114,0.0099999998,168.08999634,\N
1982,11,1982,8,92.940002441,0,0,0.3600000143,160.25999451,18.850000381,13.159999847,0.3600000143,160.53999329,\N
1982,12,1982,9,92.940002441,0,0,27.920000076,102.88999939,25.209999084,13.279999733,27.600000381,130.80999756,\N
1983,1,1982,10,92.940002441,0,0,27.280000687,74.36000061,25.170000076,10.510000229,27.219999313,101.58000183,\N
1983,2,1982,11,140.99000549,23.120000839,6.5199999809,64.63999939,0,18.850000381,7.5900001526,141.33000183,64.650001526,\N
1983,3,1982,12,145.08999634,22.469999313,3.5299999714,50.540000916,0,16.489999771,5.5300002098,79.870002747,50.790000916,\N
1983,4,1983,1,165.78999329,70.809997559,93.819999695,58.529998779,0,17.899999619,4.1599998474,242.47999573,58.520000458,\N
1983,5,1983,2,167.69999695,71.489997864,41.299999237,67.239997864,0,15.31000042,7.3600001335,181.53999329,67.319999695,\N
1983,6,1983,3,167.88000488,76.629997253,82.190002441,100.83000183,0,25.329999924,6.4699997902,257.26998901,100.93000031,\N
1983,7,1983,4,156.02999878,7.9000000954,0.6399999857,121.26000214,0.2099999934,24.670000076,7.6700000763,117.18000031,121.73000336,\N
1983,8,1983,5,98.959999084,0,0,63.209999084,87.449996948,20.819999695,9.6999998093,6.1300001144,150.66000366,\N
1983,9,1983,6,93.169998169,0,0,6.3299999237,151.07000732,18.219999313,11.670000076,0.5400000215,157.46000671,\N
1983,10,1983,7,92.940002441,0,0,0.2300000042,176.32000732,15.75,12.649999619,0,176.71000671,\N
1983,11,1983,8,92.940002441,0,0,17.100000381,153.80999756,18.409999847,15.039999962,17.059999466,170.91999817,\N
1983,12,1983,9,92.940002441,0,0,11.420000076,126.16999817,26.319999695,15.180000305,11.359999657,137.58999634,\N
1984,1,1983,10,93.180000305,0.0099999998,0,54.38999939,52.479999542,26.940000534,12.760000229,54.130001068,106.83999634,\N
1984,2,1983,11,115.93000031,2.3399999142,0.0399999991,65.720001221,0,20.049999237,8.8100004196,90.339996338,65.730003357,\N
1984,3,1983,12,144.82000732,29.36000061,15,53.040000916,0,16.709999084,7.1900000572,125.26999664,53.080001831,\N
1984,4,1984,1,102.63999939,0,0,44.919998169,13.539999962,17.219999313,6.8000001907,2.7000000477,58.459999084,\N
1984,5,1984,2,93.080001831,0,0,19.350000381,45.819999695,18.370000839,7.6700000763,9.8599996567,65.5,\N
1984,6,1984,3,92.940002441,0,0,14.319999695,92.199996948,25.920000076,8.6099996567,14.050000191,106.52999878,\N
1984,7,1984,4,92.940002441,0,0,8.220000267,119.30000305,22.190000534,7.4099998474,8.2100000381,127.58000183,\N
1984,8,1984,5,92.940002441,0,0,0.8000000119,163.33999634,22.440000534,10.090000153,0.7699999809,164.1000061,\N
1984,9,1984,6,92.940002441,0,0,0.3799999952,160.44000244,20.579999924,11.119999886,0.3700000048,160.8500061,\N
1984,10,1984,7,92.940002441,0,0,0.3400000036,183.08999634,17.069999695,14.270000458,0.3400000036,183.46000671,\N
1984,11,1984,8,92.940002441,0,0,3.5,168.33999634,18.100000381,15.319999695,3.5,171.8500061,\N
1984,12,1984,9,92.940002441,0,0,6.6999998093,139.63999939,29.25,16.280000687,6.6599998474,146.33000183,\N
1985,1,1984,10,92.940002441,0,0,14.109999657,83.099998474,27.010000229,10.180000305,14.029999733,97.209999084,\N
1985,2,1984,11,101.52999878,0.4399999976,0,62.279998779,0.7300000191,23.979999542,7.2699999809,71.029998779,63.080001831,\N
1985,3,1984,12,142.58000183,26.489999771,16.790000916,48.290000916,0,14.949999809,5.4400000572,132.13000488,48.720001221,\N
1985,4,1985,1,119.31999969,0.6600000262,0,51.159999847,0.9800000191,18.299999237,6.5399999619,28.63999939,52.599998474,\N
1985,5,1985,2,103.62999725,0.0700000003,0,55.279998779,8.2600002289,18.569999695,5.3699998856,39.590000153,63.909999847,\N
1985,6,1985,3,94.809997559,0,0,57.180000305,34.400001526,26.530000687,7.5300002098,48.400001526,92.199996948,\N
1985,7,1985,4,92.940002441,0,0,4.2100000381,128.38000488,22.920000076,8.9600000381,2.2899999619,132.52000427,\N
1985,8,1985,5,92.940002441,0,0,0.3700000048,145.94999695,23.879999161,8.6300001144,0.3600000143,146.33999634,\N
1985,9,1985,6,92.940002441,0,0,0.0099999998,166.05000305,20.86000061,11.350000381,0.0099999998,166.03999329,\N
1985,10,1985,7,92.940002441,0,0,0.1000000015,184.08999634,20.649999619,13.899999619,0.1000000015,184.25,\N
1985,11,1985,8,92.940002441,0,0,0.1899999976,160.08000183,17.850000381,12.5,0.1899999976,160.27000427,\N
1985,12,1985,9,92.940002441,0,0,0.9100000262,123.59999847,24.13999939,11.670000076,0.8999999762,124.58000183,\N
1986,1,1985,10,92.940002441,0,0,13.039999962,85.230003357,25.709999084,9.9600000381,13.020000458,98.220001221,\N
1986,2,1985,11,132.58000183,15.300000191,2.5299999714,62.040000916,0,19.770000458,6.8400001526,118.93000031,62.090000153,\N
1986,3,1985,12,107.5,0.0099999998,0,53.459999084,1.1499999762,18.899999619,6.2300000191,28.129999161,54.61000061,\N
